172:58,542,654,999,8,518,32,937,2552,84,322,289,238,224,554,861,1866,902,4113,402
174:8,518,899,873,654,483,431,3233,296,245,1208,117,11194,1023,9699,96,947,94,91046,9059
177:1332,3137,17,76,616,654,542,14528,8532,76293,50458,50248,49683,40538,4013,28104,24720,15836,10581,58
196:1187,81,650,493,616,147,736,15,5767,224,236,101,7477,6868,6511,2615,2535,1811,10121,564
202:302,1102,674,11356,48,58,8,15,902,861,1511,26415,4919,542,518,167,32,986,8527,7827
211:2543,311,7622,4671,22643,1011,7794,19749,12160,48958,2193,17,106950,79947,66507,6311,4918,44844,39399,25265
217:508,17,2548,15749,245,518,544,4499,2140,1102,654,354,1023,84,103,167,999,3929,1405,1126
220:7649,7478,64973,58738,39446,22713,2097,186,15660,1342,13192,10178,46413,4032,40356,92427,899,87559,8457,84
223:866,1772,302,616,58,33953,654,245,76,45,1245,5629,51314,50010,38851,20860,5223,26481,84,813
224:4797,353,1951,518,17,245,8,84,654,616,601,94,4589,8694,769,508,301,2268,1332,787
225:1187,302,616,654,32,542,2162,15,61,84,58,138,70,8,518,861,353,364,1196,2233
228:568,650,17,616,302,61858,3851,37864,3439,27615,20097,81,518,364,29,224,361,58,654,76
229:58,888,861,1913,510,1410,245,81,378,238,61,84,483,4181,32,3585,101,518,1102,15
231:559,3233,32,6527,1190,65,245,1382,119,302,94,61,354,15,654,616,1196,931,787,656
232:99009,91733,88929,87726,8217,81992,79914,7752,77322,75577,737,736,7258,69488,6476,63448,61943,60930,59541,58761
238:4513,441,17,774,10536,4421,7409,5517,4880,3618,3521,2139,1200,1009,719,135,2714,2403,1524,1827
241:1410,616,542,1624,58,29,84,15,1196,596,827,441,16036,14955,13,1002,289,901,518,239
245:81,262,16786,780,650,5767,508,3939,3137,9790,8808,8588,8511,8283,63414,62162,62,613,550,46821
249:17,654,302,2302,616,61,84,542,1410,15,94,58,8,5117,4422,38,2955,103,353,1267
250:616,654,302,8,902,58,138,70,518,84,568,289,542,554,101,5239,1752,1511,119,363
253:17,1527,189,616,4825,3107,1206,654,16174,58,302,168,500,4697,40,1902,6434,3172,542,861
257:17,9573,3272,25342,285,542,99688,167,52378,4621,42608,4240,3787,26541,25314,16616,14671,101799,70,6640
272:1102,654,8,58,616,29,518,354,76,736,650,542,101,138,861,301,15,564,6,289
273:17,302,236,654,327,101,138,861,76,554,15,720,62,650,902,14750,736,409,61,364
288:616,17,925,58,81,245,103,999,967,9580,931,9160,9108,9080,889,834,815,8069,7523,7518
290:17,138,302,654,8722,64527,5581,44218,4048,25529,23147,22515,14004,119040,11564,68549,23093,13501,116199,116016
291:23,15989,26067,16852,17,84,518,26721,10511,302,616,1050,654,58,1102,54443,10384,58816,483,40479
292:654,58,3368,616,4422,2955,245,19529,12861,138,5117,4268,2302,289,61,1039,70,119,483,9572
294:17,353,302,8,1102,4374,74631,490,4181,2298,226,2172,20748,1021,61,364,289,101,1405,1262
328:302,43507,245,1902,123082,999,9909,99007,96919,9615,954,9331,93242,9313,915,9070,89504,88948,87563,8730
331:302,17,654,616,542,364,11208,58,901,363,15,650,861,32,12362,554,289,205,1196,8
345:1754,77581,805,385,92129,83173,80736,62840,5726,45975,39936,33223,3250,28511,16881,120518,11401,11281,100590,29573
361:902,33816,616,364,138,1196,1086,58,8,518,650,29,15,826,81,6836,674,3867,3439,3163
376:17,302,58,616,29,84,3234,650,542,6,8,15,1102,285,861,354,322,245,518,76
384:616,62,17,1344,654,564,518,302,542,650,508,29,8,48703,1804,15,1196,1405,2626,199
401:2162,1389,1102,899,616,3017,138,1187,48,58,2692,12133,294,656,32,7956,1009,245,29,11351
402:654,302,542,8,84,7471,4414,364,2193,2185,1196,245,62,1509,15,4798,32,564,3307,327
410:17,4755,378,10041,1435,2880,654,302,616,76,3172,84,4825,70,58,984,14754,3864,1326,518
448:1276,616,302,8873,5287,327,654,15,518,2200,1126,902,81,409,58,8,70146,542,97,76
449:574,168,17,9663,302,58,81,654,554,5480,29,902,9180,45866,25015,24981,22686,15888,1444,10640
450:899,302,873,1187,2140,654,13294,891,14328,354,84,7470,60365,5911,3678,25656,23439,19723,16865,1119
452:8,1549,17,93072,2703,861,5869,13523,616,302,58,518,99806,9950,99304,99209,96670,96548,96533,96435
476:71577,6164,47309,15424,12716,100403,70,69277,1840,12386,17,899,353,245,902,77594,736,70597,5731,496
488:861,17,1245,302,616,224,1102,518,58,322,944,289,902,86,76,542,236,29,396,787
490:17,302,29,510,947,138,32,1023,2094,15,363,650,1403,327,70,61,76,226,289,3233
494:616,17,1359,3632,58,654,10308,409,8,542,17360,15079,518,32,101,15,2094,4181,2548,899
500:17,302,616,654,58,76,8,650,84,564,29,518,62,224,138,1102,736,285,354,301
514:135,2833,76,574,2103,1400,17,719,5480,9874,650,654,616,58,302,787,61,2660,26984,984
525:1187,875,542,302,2935,1176,654,84,518,616,61,14966,58,4586,97,8150,698,650,62,5553
535:17,1102,2679,3958,3563,354,3101,29,1550,1140,8,289,518,76,356,2618,2032,2030,1832,1804
536:302,654,7827,674,1410,616,29,58,8,61,542,2733,15,518,76,32,70,1951,3632,28002
538:1057,1102,1511,15,302,58,616,654,32,1119,1405,508,364,238,946,736,554,4542,394,1804
539:17,564,542,654,58,15,361,5182,483,322,162,1245,1196,8,32,81,1200,518,138,1382
564:236,2912,518,289,776,84,61,15,650,8,205,564,656,322,486,861,7806,1344,65,642
582:530,4669,2469,656,616,510,32199,31019,2542,162,518,4174,3160,28061,2424,10247,84,698,1119,15
585:17,654,302,46483,4284,373,616,245,84,29,1119,58,61,1140,35767,2302,1099,542,70,103
590:654,2073,15,518,8,101,542,245,902,29,70,1462,45,322,1578,14047,32,2193,472,402
601:94414,90819,90054,75023,69110,67228,48912,31717,27912,226,18245,121660,121234,118676,105155,51329,27493,583,17,70
618:17,616,654,542,15,1955,302,58,61,8,518,554,861,650,1403,97496,905,8320,75979,7048
624:168,719,5557,4190,135,1069,17,984,9024,8733,3698,1400,13567,1230,10778,7838,76,661,5488,4877
627:83175,11539,780,5512,32661,311,19731,10071,7088,4671,1077,7334,67362,48524,42114,19207,9594,815,14259,967
628:999,9916,991,9904,9902,9894,9883,98787,9850,9801,97788,9721,970,9691,966,9618,96065,9589,9584,9558
632:81,17,986,931,9247,8983,8819,8733,867,8566,854,840,827,7630,7548,752,7479,7457,7228,719
633:654,302,155,8,81,58,5767,2814,289,15,84,518,1196,61,650,564,902,245,873,322
634:8167,25910,17,367,3126,12332,226,3477,8,508,6202,48076,44254,39851,23317,22689,17339,986,70,76
646:546,1995,1913,17,262,335,1155,2194,70,616,500,654,58,302,542,20467,709,564,385,33748
666:10981,911,2543,4671,91812,62184,6152,48042,46142,45927,40086,35817,28670,28168,25145,22374,21249,16361,1337,11590
667:353,65,674,899,7685,70,17,8527,27886,58,302,654,616,802,14237,7827,542,245,70640,5156
669:94872,94421,88658,86845,78776,73095,71891,69602,69391,68725,65099,62715,57258,54949,54894,53330,47466,41633,39442,34298
678:8,84,17,1102,14086,511,302,58,654,564,6266,5450,4755,3172,3107,189,1527,1352,542,81
680:17,616,654,58,554,61,650,483,289,1511,15,1549,29,138,8,1196,947,9210,908,899
681:764,441,4487,4103,2318,17,9055,6315,16036,13,2265,4513,9490,33639,984,4261,2155,245,6411,2714
682:18240,76,17,9783,1913,1528,2318,9491,6755,5894,49564,46771,4356,30736,21371,13534,13194,32748,20451,2045
683:669,866,45128,226,112536,98966,98188,97127,9681,94511,932,8769,79332,7884,78041,77432,7620,75002,74504,71928
684:984,135,168,8860,29161,11984,801,661,3601,2833,25393,2103,11859,11255,8733,5557,18240,1528,69720,22890
715:4671,2543,9435,8392,81,6394,61368,59850,36991,21966,1753,1547,14375,12861,101827,17486,8867,8427,3034,11855
716:616,56166,302,17,654,58,542,32,15,1196,890,8897,70959,5097,4743,3568,1730,10039,861,84
741:168,17,616,1528,10292,12962,8,542,654,1196,984,12118,787,518,58,302,301,70,61,32
750:65,354,8,1102,493,2548,4542,4267,301,61,787,483,3757,15,48,674,322,147,3484,564
754:500,17,616,568,654,302,289,4268,58,508,268,285,61,245,29,81,542,5767,774,52312
756:8,510,542,616,15,289,84,62,101,1196,650,554,285,61,564,364,486,861,787,409
757:17,302,654,58,698,20524,76,236,1196,616,84,70,704,4017,358,348,2548,1023,564,245
758:17,302,616,15,58,654,76,861,162,749,1196,901,899,859,73,704,698,6,542,301
763:84,17,110073,41641,26355,8,1866,650,1119,29,354,542,70890,45781,44199,29204,20224,1023,518,9751
773:76,17,302,94677,7742,58120,398,39526,31208,28635,2675,2193,18491,1405,105394,654,616,58,8,101
774:302,17,6,8741,1196,1405,76,51436,4414,285,8,31759,518,530,32,245,873,81,554,2233
775:866,1102,238,245,899,58,2030,875,58805,542,4422,999,902,81,754,656,5189,518,48876,375
782:26744,6527,1825,616,542,654,650,245,931,7145,500,18670,1164,873,7620,5699,4967,47687,3233,306
784:17,1196,302,1023,899,1187,285,48,29,162,542,1119,518,101,84,861,1405,5159,486,327
793:13203,8,11396,16241,14193,236,27447,1734,728,6059,42335,35619,23833,17030,12462,109031,654,518,616,3448
803:17,138,58,654,616,1119,302,70,245,363,3389,2789,162,6450,521,891,5581,84,29,32
813:17,616,654,61,302,542,1119,518,84,554,29,289,1023,101,650,1187,364,787,4813,902
815:58,364,302,654,902,7248,3965,3474,1558,15,13635,124,454,49534,43540,35501,32,219,542,7296
817:1102,8,58,616,29,486,518,5575,861,363,564,289,301,650,542,101,138,32,76,15
818:984,5480,7994,9874,8860,7235,2103,135,1326,1230,508,760,76,17,72,7180,574,4394,3601,2962
823:17,94,1023,802,518,262,1446,13,1744,302,168,84,616,70,29,245,138,901,654,354
825:554,1102,616,518,654,8,1119,409,58,29,542,4017,294,2935,101,6759,394,2292,94,1126
833:2955,302,8,58,1410,162,189,84,1405,4422,238,13967,564,361,508,861,9106,827,7173,497
835:81,616,518,86,58,356,84,302,654,542,394,101,1102,245,861,15,61,1196,1804,70
838:8066,9412,84808,6344,59120,50887,46541,45281,288,28371,113566,7210,219,1902,15131,131,8427,7622,4625,42989
844:58,8,76,29,289,101,518,62,70,554,15,354,182,542,736,861,32,6,1535,2988
850:866,17,354,302,654,94,70,1382,245,76,9482,29,84,8,657,32,58,9890,616,65
856:364,8208,103,301,1744,119,3476,239,1231,25145,70,9885,9772,39505,33777,31515,19003,18700,18604,167
857:302,3017,84,76,518,542,8,289,564,486,61,101,5542,354,2618,199,1832,1102,32,650
874:2714,302,2696,2403,2140,1827,28248,364,5345,970,4032,9347,119,1030,46562,58,124,105,84,3233
891:17,361,302,654,354,29,84,58,76,616,1102,70,138,8,650,736,301,518,564,285
899:17,1410,616,363,22,1097,302,8,13523,8705,654,2644,84,103,518,15,58,564,827,5567
900:17,398,2447,24211,9629,93302,8209,73528,6289,5598,3829,34573,25504,14964,13388,11623,11247,10318,4719,302
911:76,20416,16701,813,4586,4425,1009,654,7491,20405,302,4427,698,564,7736,678,6303,59899,51645,5084
918:17,1410,327,654,302,84,58,81,65,616,61,3233,5812,518,245,8,103,542,29,998
925:17,302,654,58,616,84,9664,9123,899,873,8118,7338,65,6,496,378,363,2814,176,1287
926:302,1578,58,62,564,4904,483,364,363,3244,32,2030,162,1403,1332,114,101,861,1550,361
937:23122,302,363,616,946,787,7843,76,7006,656,6527,61,58,571,5470,542,5413,518,5117,4497
949:1790,17,70,508,1023,1382,226,302,518,616,8,654,1405,94,58,84,76,364,564,262
964:2403,17,518,3207,1267,616,353,8,5699,472,4268,3233,1708,1370,12202,103,970,4422,58,947
970:2656,14636,9093,50946,84,8,4613,4300,32906,2251,83571,5010,656,518,75359,60987,2031,873,84198,8213
977:17,236,322,518,1231,1511,94,1405,162,6157,4613,925,3017,81,554,642,4268,364,245,15
981:4513,1002,719,1744,13881,1256,17,245,3618,774,219,8928,3506,16465,1340,2980,710,4856,6315,353
982:17,2162,1119,875,85902,69057,2225,16219,11995,109008,10193,908,86569,71950,7003,65410,542,4669,46540,4364
984:84,17,13523,9832,4048,245,654,8,92295,68818,4268,14960,57642,14521,616,58,861,508,409,15
992:17,650,508,2548,302,1220,616,518,1412,245,542,62,1764,654,58,2068,1382,262,84,15
993:654,84,616,518,58,361,564,1102,29,41847,902,787,542,1196,226,76,736,61,32,138
998:847,6562,6398,5410,46917,43900,3812,33680,30864,28785,28130,27548,24402,1783,16699,16118,14924,12580,10757,2162
1000:84,17,1102,70,542,3162,1196,58,1358,902,8,61,7685,6376,50801,4456,36715,33088,21366,1558
1007:17,654,29,8,554,22,564,542,1196,356,224,289,518,138,84,690,61,1102,1245,1140
1027:168,1326,5488,1400,661,3083,2833,2103,9417,5557,1740,10267,574,760,801,2370,14593,1124,8733,1230
1028:17,302,616,58,518,542,61,15,29,356,1196,861,238,650,564,103,6,508,409,301
1044:84,17,302,654,1874,616,656,372,8,58,542,518,1119,29,363,162,1549,15,70,245
1045:17,542,8,925,518,2030,58,84,564,1102,402,1196,826,1987,1405,861,650,101,61,289
1049:76,81,564,103,542,17,500,4268,285,238,1050,302,429,472,40,616,9289,409,262,236
1068:1002,8928,710,441,73569,13853,245,17,6315,4513,1256,1744,999,908,902,6708,65597,57007,52136,402
1069:353,1187,564,8,875,654,1119,3521,736,138,5117,364,2789,1987,1050,518,76,5542,2733,2369
1070:17,899,616,9313,5956,58,902,4508,12236,947,1412,66,542,15,1140,564,32,364,245,1405
1082:866,1102,5286,409,32,1196,84,493,999,5542,1140,101,2535,1822,1811,15,518,6328,54092,5253
1083:87395,8272,8,75042,71491,654,650,62335,610,61,5581,542,53428,518,4757,45686,4542,449,431,394
1088:656,1126,1023,9885,39505,31515,18604,16505,15383,13337,364,17,564,245,8,9772,33777,15254,563,327
1094:22,61,1065,899,441,616,2030,875,1471,58,1276,4268,1405,48,999,554,4181,3842,3661,22308
1116:302,4249,654,58,616,29,3509,61,999,9853,9822,9592,9453,94,928,9146,902,888,8846,8673
1121:17,1578,99297,654,902,84,616,61,568,289,1348,1140,1102,1086,101,999,9146,8156,787,699
1125:41216,1410,542,58,1126,302,9258,616,654,37196,138,61,530,4174,13458,3521,1262,103,363,42994
1127:17,84,8,3142,58,1410,616,245,518,302,1262,908,119,4345,34141,2480,2328,20781,20505,19411
1132:17,58,70,37859,302,654,15,322,76,650,8,542,508,29,518,1405,861,564,327,568
1133:1102,3172,4755,15,189,81,385,8,19885,656,636,5998,5767,559,521,508,4422,4372,408,3162
1140:616,302,58,1023,564,29,542,70,8,612,1102,37952,99586,9347,8547,813,76,7407,6855,66
1141:5512,17,787,1382,88876,75835,74982,7392,302,931,8075,327,16029,14259,12955,1131,103,8,508,9594
1148:75530,687,6733,5116,4249,4021,3599,3477,31654,2967,28248,25910,25402,2416,1888,17527,1539,1510,12332,11670
1153:17,902,3101,1102,616,899,654,7021,875,138,58,48,944,861,787,650,564,518,510,4904
1163:1097,17,616,302,13523,58,518,76,542,8,861,654,650,238,61,564,6,508,32,409
1166:353,33639,1050,17,1126,81,774,4755,1352,1888,4422,103,542,2121,3162,1827,15,70,146,7910
1172:7194,65,119,2419,327,17,616,518,8,302,29,1109,81,1405,61,654,58,1023,861,834
1192:17,2162,101,302,616,1102,58,650,875,542,8,931,1804,6450,1196,564,364,1403,81,861
1204:17,654,302,616,61,58,15,245,29,542,84,518,322,8,650,6,32,94,101,787
1208:302,654,17,58,616,650,861,224,182,1245,301,29,15,8,542,866,361,1220,76,564
1209:2140,9874,574,168,840,65,984,9295,8860,7994,760,719,661,5557,5480,3709,2370,22395,2103,1740
1234:168,719,574,661,9783,7994,5480,463,2103,58,984,6755,1400,3638,8860,7235,1740,1326,1528,9874
1236:8973,8673,8566,3536,17,3196,2548,54784,32,650,616,931,84,92719,8814,7739,7409,6759,6264,59979
1245:1187,2162,131,654,616,302,873,564,58,65,542,875,974,967,861,859,84,815,8,7959
1263:302,17,84,58,1102,542,2626,518,224,650,3191,364,486,356,1196,8,32,1405,1086,76
1267:13293,736,138,616,58,41831,1204,114483,654,302,101,542,902,564,518,8,364,15,1050,1196
1269:3107,4755,81,2880,1352,1712,189,12990,6434,8848,7826,74774,61209,33702,29134,101455,86645,8586,80248,78538
1288:1017,692,67016,17,62171,564,4702,41418,35890,34072,3075,22068,13278,1140,654,398,780,138,616,5767
1295:4026,616,2552,402,542,1196,61,15,396,518,48646,1425,7545,62,486,3824,3017,224,1578,1549
1296:17,654,58,29,542,1086,84,8,76,650,518,15,226,61,564,354,6,32,861,182
1302:17,616,654,302,62,542,409,3534,2947,162,155,15,12632,1086,861,554,1196,518,32,285
1305:84,17,302,8,58,322,542,205,1196,518,787,29,354,15,861,564,32,268,1403,650
1342:17,84,518,302,616,72675,656,39096,2880,2026,654,58,1102,101,650,564,76,9093,88233,7667
1382:84,1102,17,302,616,8,654,650,5112,518,1762,58,245,508,861,564,542,32,875,2162
1389:75115,61636,4245,40853,1305,99887,99420,99347,95032,94835,85140,8055,787,7807,78065,76,71576,71313,6836,6635
1391:26376,302,32,17,650,58,402,616,61,6,29,8,654,245,1578,15,103,787,674,238
1397:81,986,140,1749,226,2379,1884,500,70,2967,834,5355,3819,5767,30317,2292,17071,1344,13368,12589
1402:616,302,58,48,81,138,564,8,518,84,2193,1196,70,1187,1102,486,650,61,483,1405
1405:96890,92558,4697,24722,15022,17,654,616,302,58,508,84,101,518,29,8,542,902,32,15
1407:17,302,616,542,58,518,486,654,84,787,650,61,15,8,1196,94,32,285,1403,1023
1408:17,84,518,245,302,616,9869,97909,96327,93465,72987,6400,61758,59767,51320,4771,46573,44991,35418,354
1409:8,6503,616,51517,12724,24608,101,564,138,1762,1405,902,81,15,508,780,1550,354,542,356
1412:17,58,654,302,542,616,84,67693,5169,46909,44738,2743,19007,146,109407,10510,94,913,866,8
1413:483,32,15,48,542,285,931,5699,3233,899,81,254,109,364,205,101,162,16675,9890,8588
1418:654,22,185,81,138,1119,289,370,542,322,61,3233,14152,15,891,10127,810,1951,4268,1684
1419:4755,7880,5184,378,4825,12990,1712,3172,5567,1410,8848,827,4966,15802,5254,2068,30257,16174,2694,76
1420:1187,302,654,29,616,58,8,70,2162,190,61,736,518,5178,495,1937,182,354,15,542
1427:17,103,9180,24981,22686,15888,10640,10641,4187,1126,8861,7812,6605,31807,28197,2235,21834,20850,11621,518
1430:24893,17,654,302,58,76,736,289,15,518,409,238,29,902,6,8,99281,98856,97424,97385
1431:654,58,616,656,62,564,5575,542,5407,402,268,205,1598,1305,8,518,1239,84,650,76
1435:616,302,1348,3429,61,899,327,58,875,1382,3841,1930,224,48,29,84,322,3101,301,138
1437:17,616,302,698,5739,654,58,650,76,542,81,70,564,6387,62347,4738,31633,22856,2265,22614
1441:6559,3307,840,6745,2715,2548,245,94,931,826,8216,8066,8,749,714,690,67843,678,535,508
1447:17,9108,8069,7523,5905,563,518,5119,37720,372,3618,3326,3233,3162,2140,2115,1987,1794,14894,13162
1448:42095,17,373,2548,245,8153,8077,6559,44862,44479,33176,23365,8,81,654,542,76,650,616,61
1457:4013,17,616,302,76293,50458,50248,49683,40538,39649,28104,24720,15836,10581,454,15,322,542,285,58
1458:17,165,1786,302,76,616,2631,1772,698,402,692,1690,11035,999,650,5731,58,1534,224,9785
1469:302,236,3448,616,7935,60428,41744,899,875,58,861,48,542,84,61,564,402,32,238,1685
1477:17,899,736,76,654,633,542,1187,48,8783,28996,1651,10692,84,245,518,15,616,302,9289
1486:168,226,719,752,39207,57525,6097,2275,1460,14147,984,8783,8860,1651,5480,1400,76,709,654,546
1490:866,17,2121,616,542,302,787,7468,67794,67389,54884,52815,50561,47949,4671,4292,32,27706,27085,21693
1491:302,654,616,58,542,9814,76,518,8,364,15,650,564,84,61,30532,861,285,6,3514
1500:2714,3506,2101,9862,9041,55674,4864,4228,3900,37149,32895,29914,276,26871,2485,2252,20861,18687,18386,15228
1503:8,654,58,1476,616,581,511,394,650,542,1196,564,289,224,1245,1140,15,101,861,354
1517:99978,99974,950,931,9294,9272,92088,9199,9160,91343,90327,8957,8901,8895,888,8848,88164,88139,8804,87930
1518:4755,17,3107,8,563,472,3233,1987,1631,1603,9093,84,7667,7315,72675,39096,2880,616,1527,14636
1535:899,48,236,13523,58,7243,7038,2165,4023,696,302,3448,542,364,138,23581,6272,4203,32437,11787
1551:616,1913,1050,8,650,518,103,542,61,15,245,70,2939,55592,500,402,32,554,364,409
1552:19245,29723,81,76,70,653,4194,226,13544,1402,8892,29,17,9901,986,9730,9598,9368,91374,9095
1553:654,17,656,58,518,302,16764,1382,8,616,542,11208,9210,76888,56615,544,5413,34789,3385,2769
1559:616,59912,2121,654,302,81,15,650,4181,356,32,84,29,518,402,194,1403,1196,62,70
1560:902,17,58,131,1804,302,8566,774,4741,230,17752,15510,1165,10316,9691,12933,7223,554,3234,103
1561:9906,616,62,7477,5343,50153,30301,18851,1822,151,147,1389,17,542,6868,6511,578,493,31938,2615
1562:654,564,1102,168,616,101,8,826,709,56260,5465,254,20467,13420,29,1332,1866,650,6,518
1569:986,81,81376,67311,57809,37445,23600,119844,109858,10752,106765,36425,9505,9447,91853,91757,9169,91440,911,8772
1570:302,616,17,101,245,199,84,837,58,654,29,861,8,787,736,7010,701,564,542,322
1588:84,901,542,32,245,1187,1119,97112,947,91208,899,80185,53,50311,48,46420,301,155,10092,873
1589:190,654,58,1405,568,616,327,42489,650,4499,542,238,1196,899,8,1239,1403,518,861,6
1591:69776,62108,1506,76,2140,17,1382,1196,9708,9558,944,94382,9319,9080,908,8991,899,8962,892,891
1601:17,1187,1119,899,48,3841,616,58,224,12445,10479,249,654,554,302,496,2194,1196,875,2162
1602:17,999,931,5407,518,48791,4249,408,2076,1782,13620,1023,322,32,840,5699,131,22,285,656
1629:17,518,1410,616,654,302,61,327,58,8,1405,15,76,32,656,301,65,1126,103,650
1634:9662,8337,13782,2265,2717,2328,9557,85642,83050,71328,70,6901,6299,46620,46247,3288,31739,30790,30526,30395
1642:302,5017,654,1102,58,4456,8,518,101,542,931,245,1023,289,861,999,554,32,94,508
1653:17,564,8,65,616,654,58,302,101,84,138,650,61,29,76,736,245,720,97,931
1654:866,302,1410,33985,48,29,101,518,8,45985,542,84,554,1804,11881,364,650,322,564,81
1655:8,5998,654,138,289,542,29,15,245,76,650,39505,31515,19003,18700,18604,16505,15383,13337,2268
1668:616,568,7446,8203,43575,3534,238,236,1960,650,62,15,162,363,224,8566,518,1405,30337,486
1681:17,866,518,402,9106,7910,6001,3025,1534,542,899,875,650,15,999,962,690,66532,61,4942
1703:1126,1050,197,650,1119,1382,6210,302,654,840,1794,6960,2983,32,508,736,1196,84,1109,518
1721:616,58,3304,289,354,302,17,15,61,245,654,103,542,4268,650,32,29,754,4106,2947
1727:58230,17,81,302,58,654,861,787,616,6455,58726,5616,4187,369,84,301,650,10640,70,564
1728:302,30828,58,616,61,4187,322,508,542,861,84,650,1382,564,15,8,518,1511,1196,76
1745:17,616,654,302,58,245,542,97458,93561,807,7959,78724,78613,69530,67395,64685,61,6020,56260,546
1746:616,17,302,2322,4721,654,8,58,542,2233,81758,7619,44176,84,861,364,238,15,61,518
1751:311,4697,32771,24428,8,9189,38988,124,947,1405,518,1126,14210,9777,6527,7048,6793,66490,6085,5567
1756:1733,8,1102,944,2076,302,616,58,970,9077,7267,690,6157,61,5927,564,546,5421,542,5407
1758:302,17,654,616,58,162,76,8,827,542,363,138,1140,32,650,15,518,70,322,101
1761:70173,66480,34319,25716,19433,119401,10904,103292,101433,94836,45169,42190,30210,23824,87838,866,83706,69855,68919,68455
1767:2714,1187,774,2696,2403,1827,970,616,8,875,902,500,4697,364,361,3389,3250,295,2789,226
1779:93631,93097,86913,8635,67185,65741,56748,37843,17395,1674,103533,25515,95955,92794,92605,86483,81997,79014,72949,69362
1780:9354,13960,88524,731,72271,67574,64,48208,32648,3041,1772,140,10503,10404,966,9313,91791,9052,866,8538
1783:17,354,302,58,8,650,486,736,902,327,84,542,518,787,76,29,245,193,394,30
1787:616,518,2618,2032,510,483,36128,3323,24471,238,2193,1410,1196,564,32,15,678,3704,61,119
1788:17,1465,18777,14906,616,731,168,29732,2345,15676,302,9992,9842,98,9775,9185,8489,84,83202,7910
1794:616,17,654,58,518,101,947,302,15,245,8,1196,84,564,5517,2200,354,32,650,902
1796:546,654,8,168,61,262,892,542,33475,3223,2687,861,785,11671,97674,62,50616,5022,4813,43338
1803:17,616,654,302,356,1568,58,394,84,8,32,518,1126,285,29,301,542,15,245,564
1820:1352,1712,10041,17,189,10687,1923,12990,2880,6434,5624,58,654,302,23191,65,3144,262,8848,6601
1821:518,17,654,103,8,616,364,1987,61,84,5117,4268,58,542,999,3233,2955,2302,15,1126
1822:616,354,17,654,302,285,61,58,3101,1550,11720,1168,861,2266,11571,10162,356,901,94,9146
1823:84,17,650,542,6759,289,15921,1495,6503,1762,15,726,1196,138,61,70,2939,859,554,2024
1840:616,66,542,80298,7080,61202,240,23622,117532,60,70,650,861,797,402,162,1220,2193,1644,21942
